date,time,Open,High,Low,Close,7079,ema4,ema8,ema16,rsi
2008.11.28,12:00:00,146.6,146.8,145.55,146.42,7291,146.63560016344772,146.68907337110102,146.44142911800074,8.609011884275082
2008.11.28,16:00:00,146.41,147.1,145.58,146.91,9585,146.74536009806863,146.738168177523,146.4965551041183,73.53356195590503
2008.11.28,20:00:00,146.9,147.56,146.8,147.16,2225,146.91121605884118,146.83190858251788,146.57460744481025,84.6562686637866
2008.12.01,00:00:00,146.68,147.11,145.54,146.05,3683,146.5667296353047,146.65815111973615,146.5128889218914,17.89061110786846
2008.12.01,04:00:00,146.04,146.19,145.86,146.14,2684,146.39603778118283,146.54300642646143,146.469019636963,27.20102141033521
2008.12.01,08:00:00,146.15,146.22,141.95,142.36,7922,144.7816226687097,145.61344944280336,145.98560556202617,2.58447231353877
2008.12.01,12:00:00,142.37,142.37,140.22,140.71,8852,143.15297360122582,144.52379401106927,145.36494608414074,1.4437849816870378
2008.12.01,16:00:00,140.72,141.2,138.13,138.29,9977,141.2077841607355,143.13850645305388,144.53259948600655,0.6291930791318933
2008.12.01,20:00:00,138.28,139.62,138.02,138.69,6994,140.20067049644132,142.14994946348637,143.845234840594,16.249804203726836
2008.12.02,00:00:00,138.68,140.03,138.28,139.87,4378,140.0684022978648,141.64329402715606,143.3775601534653,56.548740628304536
2008.12.02,04:00:00,139.85,139.98,138.34,138.38,3915,139.39304137871886,140.91811757667693,142.78961190011645,25.52778593371901
2008.12.02,08:00:00,138.37,138.98,137.09,138.09,7473,138.8718248272313,140.28964700408204,142.23671638245568,21.03584608762868
2008.12.02,12:00:00,138.1,140.88,137.55,140.63,9375,139.57509489633878,140.3652810031749,142.04769092569617,80.65733465209256
2008.12.02,16:00:00,140.64,140.89,139.04,139.49,10913,139.54105693780326,140.17077411358048,141.74678611090837,48.07450579542598
2008.12.02,20:00:00,139.5,139.79,138.17,138.97,6559,139.31263416268195,139.9039354216737,141.42010539197798,35.12856061308
2008.12.03,00:00:00,138.98,139.18,138.16,138.81,3530,139.11158049760917,139.66083866130177,141.11303416939234,30.13473919985981
2008.12.03,04:00:00,138.8,139.74,138.5,138.82,4443,138.9949482985655,139.47398562545692,140.8432654435815,31.354555374042803
2008.12.03,08:00:00,138.83,139.36,136.32,136.4,7261,137.9569689791393,138.79087770868873,140.32052833257188,3.3177937486192746
2008.12.03,12:00:00,136.41,137.62,136.29,137.14,7967,137.63018138748356,138.42401599564678,139.9463485287399,37.49763303752069
2008.12.03,16:00:00,137.13,138.29,136.41,137.22,10090,137.46610883249014,138.15645688550305,139.62560164300578,41.93595700359719
2008.12.03,20:00:00,137.21,138.06,136.33,137.88,7226,137.63166529949407,138.09502202205792,139.42023674382864,73.26299176942622
2008.12.04,00:00:00,137.87,138.25,137.36,137.9,3174,137.73899917969644,138.05168379493392,139.24138536220173,74.10957045163981
2008.12.04,04:00:00,137.91,137.96,136.51,137.3,3723,137.56339950781788,137.88464295161526,139.01298708429564,25.55686834940504
2008.12.04,08:00:00,137.29,137.38,134.09,134.93,7763,136.5100397046907,137.2280556290341,138.5326356626138,4.138318108658793
2008.12.04,12:00:00,134.92,136.25,134.22,135.1,9182,135.94602382281442,136.75515437813763,138.12879617289454,14.426789040628865
2008.12.04,16:00:00,135.12,137.49,134.79,136.76,10826,136.27161429368866,136.75623118299595,137.9677613290246,72.36023230152541
2008.12.04,20:00:00,136.78,136.88,134.98,135.4,5524,135.9229685762132,136.45484647566352,137.66567176090405,34.305192113181946
2008.12.05,00:00:00,135.38,135.81,135.08,135.57,2575,135.78178114572793,136.2582139255161,137.41912214197416,41.938930503675344
2008.12.05,04:00:00,135.58,135.83,135.22,135.35,1985,135.60906868743677,136.05638860873472,137.17569600762425,32.2420399745142
2008.12.05,08:00:00,135.37,135.94,134.88,135.08,4578,135.39744121246207,135.83941336234923,136.92914353613904,20.568735488316793
